# Rechtschreibwörterbuch
# Quelle: WordNet
# lingo-Format: WordClass
# Zeilen: 37.319 
adient=adient #a
adige=adige #s
adiposis=adiposis #s
adiposity=adiposity #s
adirondack=adirondack #s
adirondacks=adirondacks #s
aditi=aditi #s
aditya=aditya #s
adjudicata=adjudicata #s
adjudicative=adjudicative #a
adjunction=adjunction #s
adjunctive=adjunctive #a
adjuratory=adjuratory #a
adjustive=adjustive #a
adjuvant=adjuvant #a
adjuvant=adjuvant #s
adlai=adlai #s
ad-lib=ad-lib #a
ad-lib=ad-lib #s
adlumia=adlumia #s
admass=admass #s
admeasure #v
administrivia=administrivia #s
admirability=admirability #s
admirably=admirably #a
admirer=admirer #s
admiringly=admiringly #a
admissive=admissive #a
admix #v
adnexa=adnexa #s
adobo=adobo #s
adolesce #v
adolf=adolf #s
adolph=adolph #s
adolphe=adolphe #s
adolphus=adolphus #s
adonic=adonic #a
adonic=adonic #s
adonis=adonis #s
adoptee=adoptee #s
adopter=adopter #s
adoptive=adoptive #a
adoptive=adoptive #s
adorability=adorability #s
adoringly=adoringly #a
adoxography=adoxography #s
adp=adp #s
adps=adps #s
adrenalectomy=adrenalectomy #s
adrenarche=adrenarche #s
adrenocortical=adrenocortical #a
adrenocorticotrophin=adrenocorticotrophin #s
adrenocorticotropin=adrenocorticotropin #s
adrenosterone=adrenosterone #s
adrian=adrian #s
adrianople=adrianople #s
adrianopolis=adrianopolis #s
adrien=adrien #s
adscensionis=adscensionis #s
adscititious=adscititious #a
adscript=adscript #a
adspersus=adspersus #s
adsuki=adsuki #s
adulatory=adulatory #a
adulterator=adulterator #s
adumbrative=adumbrative #a
advection=advection #s
advective=advective #a
advect #v
advena=advena #s
adventitia=adventitia #s
adventitial=adventitial #a
adventive=adventive #a
adventuristic=adventuristic #a
adversative=adversative #a
adversative=adversative #s
advertence=advertence #s
advertency=advertency #s
advertiser=advertiser #s
advertizement=advertizement #s
advertizer=advertizer #s
advil=advil #s
advocator=advocator #s
advowson=advowson #s
adynamia=adynamia #s
adynamic=adynamic #a
adzhar=adzhar #s
adzharia=adzharia #s
adzuki=adzuki #s
aec=aec #s
aecial=aecial #a
aeciospore=aeciospore #s
aecium=aecium #s
aedes=aedes #s
aedon=aedon #s
aegadean=aegadean #s
aegagrus=aegagrus #s
aegates=aegates #s
aegiceras=aegiceras #s
aegina=aegina #s
aegir=aegir #s
aeglefinus=aeglefinus #s
aegospotami=aegospotami #s
aegospotamos=aegospotamos #s
aegypiidae=aegypiidae #s
aegypius=aegypius #s
aegypti=aegypti #s
aegypticum=aegypticum #s
aegyptius=aegyptius #s
aegyptopithecus=aegyptopithecus #s
aelius=aelius #s
aenaeus=aenaeus #s
aeneas=aeneas #s
aeneid=aeneid #s
aengus=aengus #s
aeolia=aeolia #s
aeolic=aeolic #s
aeolis=aeolis #s
aeolotropic=aeolotropic #a
aeonium=aeonium #s
aepyceros=aepyceros #s
aepyornidae=aepyornidae #s
aepyorniformes=aepyorniformes #s
aepyornis=aepyornis #s
aequinoctialis=aequinoctialis #s
aerides=aerides #s
aeriferous=aeriferous #a
aeriform=aeriform #a
aerobacter=aerobacter #s
aerobe=aerobe #s
aerobics=aerobics #s
aerobiosis=aerobiosis #s
aerobiotic=aerobiotic #a
aerodontalgia=aerodontalgia #s
aerolitic=aerolitic #a
aerophagia=aerophagia #s
aerophilatelic=aerophilatelic #a
aerophile=aerophile #s
aerophyte=aerophyte #s
aerosolized=aerosolized #a
aerosolize #v
aertex=aertex #s
aeruginosus=aeruginosus #s
aery=aery #s
aeschylean=aeschylean #a
aeschylus=aeschylus #s
aeschynanthus=aeschynanthus #s
aesculapian=aesculapian #a
aesculapius=aesculapius #s
aesculus=aesculus #s
aesir=aesir #s
aesop=aesop #s
aesthesia=aesthesia #s
aesthesis=aesthesis #s
aesthetician=aesthetician #s
aestivalis=aestivalis #s
aestivum=aestivum #s
aestivus=aestivus #s
aethionema=aethionema #s
aethiopica=aethiopica #s
aethiops=aethiops #s
aethusa=aethusa #s
aetiologist=aetiologist #s
aetobatus=aetobatus #s
afarensis=afarensis #s
afars=afars #s
afeard=afeard #a
afebrile=afebrile #a
afer=afer #s
affably=affably #a
affaire=affaire #s
affectional=affectional #a
affenpinscher=affenpinscher #s
affinal=affinal #a
affinis=affinis #s
affirmer=affirmer #s
affixal=affixal #a
affixation=affixation #s
afflictive=afflictive #a
affranchise #v
affusion=affusion #s
afghanistani=afghanistani #s
afibrinogenemia=afibrinogenemia #s
afisr=afisr #s
afl=afl #s
aflare=aflare #a
aflaxen=aflaxen #s
afl-cio=afl-cio #s
afonso=afonso #s
afp=afp #s
aframomum=aframomum #s
afrasian=afrasian #s
africana=africana #s
africander=africander #s
africanized=africanized #s
africanus=africanus #s
afrikaans=afrikaans #a
afrikaans=afrikaans #s
afrikander=afrikander #s
afrikaner=afrikaner #s
afrl=afrl #s
afropavo=afropavo #s
afspc=afspc #s
afzelii=afzelii #s
aga=aga #s
ag=ag #s
agalactia=agalactia #s
agalactosis=agalactosis #s
agalinis=agalinis #s
agama=agama #s
agamete=agamete #s
agamic=agamic #a
agamidae=agamidae #s
agamid=agamid #s
agammaglobulinemia=agammaglobulinemia #s
agamogenesis=agamogenesis #s
agapanthus=agapanthus #s
agapornis=agapornis #s
agaricaceae=agaricaceae #s
agaric=agaric #s
agaricales=agaricales #s
agaricus=agaricus #s
agassiz=agassiz #s
agassizii=agassizii #s
agastache=agastache #s
agatha=agatha #s
agathis=agathis #s
agavaceae=agavaceae #s
agaze=agaze #a
agdestis=agdestis #s
agdistis=agdistis #s
agee=agee #s
agelaius=agelaius #s
agelong=agelong #a
agendum=agendum #s
agene=agene #s
agenesia=agenesia #s
agenesis=agenesis #s
agenize #v
ager=ager #s
agerasia=agerasia #s
ageratina=ageratina #s
aggeus=aggeus #s
agglomerator=agglomerator #s
agglutinative=agglutinative #a
agglutinogen=agglutinogen #s
aggrade #v
aggrandisement=aggrandisement #s
aggrandizement=aggrandizement #s
aggravatingly=aggravatingly #a
aggravator=aggravator #s
aggregatum=aggregatum #s
agha=agha #s
aghan=aghan #s
agiles=agiles #s
agilis=agilis #s
agincourt=agincourt #s
agio=agio #s
agiotage=agiotage #s
agism=agism #s
agitans=agitans #s
agitative=agitative #a
agkistrodon=agkistrodon #s
aglaia=aglaia #s
aglaomorpha=aglaomorpha #s
aglaonema=aglaonema #s
agnail=agnail #s
agnate=agnate #a
agnate=agnate #s
agnatha=agnatha #s
agnathan=agnathan #s
agnation=agnation #s
agne=agne #s
agnes=agnes #s
agni=agni #s
agnomen=agnomen #s
agnosia=agnosia #s
agnus=agnus #s
agonadal=agonadal #a
agonal=agonal #a
agonic=agonic #s
agonidae=agonidae #s
agonistic=agonistic #a
agonus=agonus #s
agra=agra #s
agranulocytic=agranulocytic #a
agranulocytosis=agranulocytosis #s
agranulosis=agranulosis #s
agrapha=agrapha #s
agraphia=agraphia #s
agraphic=agraphic #a
agrestic=agrestic #a
agrestis=agrestis #s
agrifolia=agrifolia #s
agrigento=agrigento #s
agrimonia=agrimonia #s
agrimony=agrimony #s
agriocharis=agriocharis #s
agrippa=agrippa #s
agrippina=agrippina #s
agronomist=agronomist #s
agropyron=agropyron #s
agrostemma=agrostemma #s
agrostis=agrostis #s
agrypnia=agrypnia #s
agrypnotic=agrypnotic #a
agua=agua #s
aguacate=aguacate #s
aguish=aguish #a
aguti=aguti #s
ahab=ahab #s
ahenobarbus=ahenobarbus #s
ahistorical=ahistorical #a
ahmad=ahmad #s
ahmed=ahmed #s
ahorse=ahorse #a
ahpcrc=ahpcrc #s
ahriman=ahriman #s
ahuehuete=ahuehuete #s
ahura=ahura #s
ahvenanmaa=ahvenanmaa #s
aiai=aiai #s
aidoneus=aidoneus #s
aigina=aigina #s
aiglet=aiglet #s
aigret=aigret #s
aiguilette=aiguilette #s
aiken=aiken #s
ailanthus=ailanthus #s
ailey=ailey #s
ailment=ailment #s
ailuropoda=ailuropoda #s
ailuropodidae=ailuropodidae #s
ailurus=ailurus #s
aime=aime #s
aimee=aimee #s
aioli=aioli #s
airdock=airdock #s
air-dry=air-dry #a
aire=aire #s
airedale=airedale #s
airgun=airgun #s
airpost=airpost #s
aisne=aisne #s
aitken=aitken #s
aix=aix #s
aix-la-chapelle=aix-la-chapelle #s
aizoaceae=aizoaceae #s
aizoides=aizoides #s
ajacis=ajacis #s
ajaia=ajaia #s
ajaja=ajaja #s
ajax=ajax #s
ajuga=ajuga #s
akaba=akaba #s
ak=ak #s
akan=akan #s
akaryocyte=akaryocyte #s
akaryote=akaryote #s
akee=akee #s
aken=aken #s
akeridae=akeridae #s
akha=akha #s
akhbari=akhbari #s
akhenaten=akhenaten #s
akhenaton=akhenaton #s
akinesia=akinesia #s
akinesis=akinesis #s
akira=akira #s
akka=akka #s
akkadian=akkadian #s
akko=akko #s
akmola=akmola #s
akron=akron #s
aksa=aksa #s
aku=aku #s
akvavit=akvavit #s
akwa=akwa #s
alabama=alabama #s
alabaman=alabaman #s
alabamensis=alabamensis #s
alabamian=alabamian #s
alacritous=alacritous #a
aladdin=aladdin #s
al-adha=al-adha #s
alai=alai #s
al-aksa=al-aksa #s
alalunga=alalunga #s
alamayn=alamayn #s
alamein=alamein #s
alan=alan #s
aland=aland #s
al-ansar=al-ansar #s
al-aqsa=al-aqsa #s
alaric=alaric #s
al-asifa=al-asifa #s
alaskan=alaskan #a
alaskan=alaskan #s
alata=alata #s
alate=alate #a
alatum=alatum #s
alatus=alatus #s
alauda=alauda #s
alaudidae=alaudidae #s
alba=alba #s
albacares=albacares #s
alban=alban #s
albani=albani #s
albans=albans #s
albanum=albanum #s
albany=albany #s
albatrellus=albatrellus #s
albee=albee #s
albeen=albeen #s
albellus=albellus #s
alben=alben #s
albeola=albeola #s
albers=albers #s
albers-schonberg=albers-schonberg #s
albert=albert #s
alberti=alberti #s
alberto=alberto #s
albescent=albescent #a
albicans=albicans #s
albicaulis=albicaulis #s
albicilla=albicilla #s
albicollis=albicollis #s
albida=albida #s
albidum=albidum #s
albidus=albidus #s
albifacies=albifacies #s
albiflora=albiflora #s
albigenses=albigenses #s
albigensian=albigensian #a
albigensianism=albigensianism #s
albinal=albinal #a
albinucha=albinucha #s
albion=albion #s
albite=albite #s
albitic=albitic #a
albivelatus=albivelatus #s
albizia=albizia #s
albizzia=albizzia #s
albopictus=albopictus #s
alborg=alborg #s
albrecht=albrecht #s
albright=albright #s
albuca=albuca #s
albuginaceae=albuginaceae #s
albuginea=albuginea #s
albugo=albugo #s
albula=albula #s
albulidae=albulidae #s
albulus=albulus #s
albuminoid=albuminoid #s
albuminuria=albuminuria #s
albus=albus #s
alca=alca #s
alcaeus=alcaeus #s
alcahest=alcahest #s
alcaic=alcaic #s
alcalde=alcalde #s
alcapton=alcapton #s
alcaptonuria=alcaptonuria #s
alcazar=alcazar #s
alcea=alcea #s
alcedinidae=alcedinidae #s
alcedo=alcedo #s
alcelaphus=alcelaphus #s
alces=alces #s
alchata=alchata #s
alchemic=alchemic #a
alchemize #v
alcibiades=alcibiades #s
alcicorne=alcicorne #s
alcidae=alcidae #s
alcides=alcides #s
alcott=alcott #s
alcyonacea=alcyonacea #s
alcyon=alcyon #s
alcyonaria=alcyonaria #s
alcyone=alcyone #s
aldactone=aldactone #s
aldebaran=aldebaran #s
aldeburgh=aldeburgh #s
al-din=al-din #s
aldohexose=aldohexose #s
aldol=aldol #s
aldomet=aldomet #s
aldosteronism=aldosteronism #s
aldous=aldous #s
aldridge=aldridge #s
aldrovanda=aldrovanda #s
alec=alec #s
alecost=alecost #s
alectis=alectis #s
alecto=alecto #s
alectoria=alectoria #s
alectoris=alectoris #s
alectura=alectura #s
alehoof=alehoof #s
aleksandr=aleksandr #s
aleksandrovich=aleksandrovich #s
alekseev=alekseev #s
aleksey=aleksey #s
alekseyevich=alekseyevich #s
alendronate=alendronate #s
alep=alep #s
alepidotus=alepidotus #s
alepisaurus=alepisaurus #s
aleppo=aleppo #s
alessandro=alessandro #s
alethic=alethic #s
aletris=aletris #s
aletta=aletta #s
aleuria=aleuria #s
aleurites=aleurites #s
aleurone=aleurone #s
aleuronic=aleuronic #a
aleut=aleut #s
aleutian=aleutian #a
aleutian=aleutian #s
aleutians=aleutians #s
aleve=aleve #s
alex=alex #s
alexandre=alexandre #s
alexandria=alexandria #s
alexandrina=alexandrina #s
alexandrine=alexandrine #s
alexandrite=alexandrite #s
alexandrovich=alexandrovich #s
alexeyevich=alexeyevich #s
alexic=alexic #a
alexic=alexic #s
alexis=alexis #s
aleyrodes=aleyrodes #s
aleyrodidae=aleyrodidae #s
alfaro=alfaro #s
al-fatah=al-fatah #s
alfilaria=alfilaria #s
al-filastini=al-filastini #s
alfileria=alfileria #s
al-filistiniyyah=al-filistiniyyah #s
al-fitr=al-fitr #s
alfonso=alfonso #s
alfred=alfred #s
alfredo=alfredo #s
al-gama=al-gama #s
algarobilla=algarobilla #s
algarroba=algarroba #s
algarrobilla=algarrobilla #s
alger=alger #s
algerie=algerie #s
algeripithecus=algeripithecus #s
algernon=algernon #s
al-gharb=al-gharb #s
algida=algida #s
algidity=algidity #s
algiers=algiers #s
algin=algin #s
alginic=alginic #s
algoid=algoid #a
algolagnia=algolagnia #s
algolagnic=algolagnic #a
algol=algol #s
algology=algology #s
algometer=algometer #s
algometric=algometric #a
algometry=algometry #s
algonkian=algonkian #s
algonkin=algonkin #s
algophilia=algophilia #s
algophobia=algophobia #s
algophobic=algophobic #a
algorism=algorism #s
algren=algren #s
alhacen=alhacen #s
al-hakim=al-hakim #s
alhambra=alhambra #s
al-harb=al-harb #s
al-hasan=al-hasan #s
al-haytham=al-haytham #s
alhazen=alhazen #s
al-hijja=al-hijja #s
al-hijjah=al-hijjah #s
al-hudaydah=al-hudaydah #s
al-husain=al-husain #s
alia=alia #a
ali=ali #s
alice=alice #s
alice-josephine=alice-josephine #s
alicia=alicia #s
alidad=alidad #s
alidade=alidade #s
alienator=alienator #s
alienee=alienee #s
alienor=alienor #s
alighieri=alighieri #s
alimentarium=alimentarium #s
aliquant=aliquant #s
alir=alir #s
al-iraq=al-iraq #s
al-islam=al-islam #s
al-islami=al-islami #s
al-islamiya=al-islamiya #s
al-islamiyya=al-islamiyya #s
al-islamiyyah=al-islamiyyah #s
alisma=alisma #s
alismales=alismales #s
alismataceae=alismataceae #s
alismatidae=alismatidae #s
alison=alison #s
alistair=alistair #s
aliterate=aliterate #s
al-itihaad=al-itihaad #s
alizarine=alizarine #s
al-jama=al-jama #s
al-jihad=al-jihad #s
alkahest=alkahest #s
alkahestic=alkahestic #a
alkalemia=alkalemia #s
alkalescent=alkalescent #a
alkalimetry=alkalimetry #s
alkalinize #v
alkalinuria=alkalinuria #s
alkaliser=alkaliser #s
alkalizer=alkalizer #s
alkaloidal=alkaloidal #a
alkalosis=alkalosis #s
alkalotic=alkalotic #a
alkaluria=alkaluria #s
alkanet=alkanet #s
alkapton=alkapton #s
alkaptonuria=alkaptonuria #s
alkekengi=alkekengi #s
alkeran=alkeran #s
al-khali=al-khali #s
al-khidmat=al-khidmat #s
alky=alky #s
alkylating=alkylating #s
alkylbenzenesulfonate=alkylbenzenesulfonate #s
alkylic=alkylic #a
alla=alla #s
allamanda=allamanda #s
allan=allan #s
allantoic=allantoic #a
allantoid=allantoid #a
allargando=allargando #a
allayer=allayer #s
alle=alle #s
alleganiensis=alleganiensis #s
allegement=allegement #s
alleghaniensis=alleghaniensis #s
alleghany=alleghany #s
alleghenies=alleghenies #s
